Station 1
AMSR vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
           50        -0.090441          -0.092657            0.063386   1121
           55        -0.090684          -0.093195            0.063335   1129
           60        -0.090880          -0.093248            0.063432   1137
           65        -0.091096          -0.093373            0.063406   1145
           70        -0.091059          -0.093311            0.063477   1152
           75        -0.091681          -0.093901            0.063603   1166
           80        -0.091858          -0.094242            0.063524   1177
           85        -0.092428          -0.094831            0.063709   1188
           90        -0.092639          -0.094831            0.063590   1200
           95        -0.092588          -0.094915            0.063566   1205
          100        -0.092644          -0.095004            0.063568   1206
          105        -0.092701          -0.095093            0.063573   1207
          110        -0.092166          -0.094536            0.063693   1226
          115        -0.092266          -0.094743            0.063614   1233
          120        -0.091879          -0.093966            0.063632   1243
          125        -0.092059          -0.094330            0.063614   1247
          130        -0.092298          -0.094746            0.063671   1251
          135        -0.092408          -0.094915            0.063702   1255
          140        -0.092283          -0.094746            0.063728   1257
          145        -0.092283          -0.094746            0.063728   1257
          150        -0.092341          -0.094746            0.063712   1261
          155        -0.092277          -0.094831            0.063710   1264
          160        -0.092248          -0.094746            0.063662   1267
          165        -0.092255          -0.094831            0.063632   1270
          170        -0.092255          -0.094831            0.063632   1270
          175        -0.092254          -0.094746            0.063650   1273
          180        -0.092206          -0.094744            0.063648   1274
          185        -0.092206          -0.094744            0.063648   1274
          190        -0.092027          -0.094330            0.063682   1277
          195        -0.092162          -0.094743            0.063679   1281
          200        -0.092126          -0.094536            0.063667   1282
Lowest standard deviation for AMSR: 0.0632 at 35 miles

SMAP vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10              NaN                NaN                 NaN      0
           15              NaN                NaN                 NaN      0
           20        -0.073891          -0.072116            0.049591   1371
           25        -0.073891          -0.072116            0.049591   1371
           30        -0.073891          -0.072116            0.049591   1371
           35        -0.073891          -0.072116            0.049591   1371
           40        -0.073891          -0.072116            0.049591   1371
           45        -0.073891          -0.072116            0.049591   1371
           50        -0.073891          -0.072116            0.049591   1371
           55        -0.073891          -0.072116            0.049591   1371
           60        -0.073891          -0.072116            0.049591   1371
           65        -0.073891          -0.072116            0.049591   1371
           70        -0.073891          -0.072116            0.049591   1371
           75        -0.073891          -0.072116            0.049591   1371
           80        -0.073891          -0.072116            0.049591   1371
           85        -0.073891          -0.072116            0.049591   1371
           90        -0.073891          -0.072116            0.049591   1371
           95        -0.073891          -0.072116            0.049591   1371
          100        -0.073891          -0.072116            0.049591   1371
          105        -0.073891          -0.072116            0.049591   1371
          110        -0.073891          -0.072116            0.049591   1371
          115        -0.073891          -0.072116            0.049591   1371
          120        -0.073891          -0.072116            0.049591   1371
          125        -0.073891          -0.072116            0.049591   1371
          130        -0.073891          -0.072116            0.049591   1371
          135        -0.073891          -0.072116            0.049591   1371
          140        -0.073891          -0.072116            0.049591   1371
          145        -0.073891          -0.072116            0.049591   1371
          150        -0.073891          -0.072116            0.049591   1371
          155        -0.073891          -0.072116            0.049591   1371
          160        -0.073891          -0.072116            0.049591   1371
          165        -0.073891          -0.072116            0.049591   1371
          170        -0.073891          -0.072116            0.049591   1371
          175        -0.073891          -0.072116            0.049591   1371
          180        -0.073891          -0.072116            0.049591   1371
          185        -0.073891          -0.072116            0.049591   1371
          190        -0.073891          -0.072116            0.049591   1371
          195        -0.073891          -0.072116            0.049591   1371
          200        -0.073891          -0.072116            0.049591   1371
Lowest standard deviation for SMAP: 0.0496 at 20 miles

==================================================

Station 6
AMSR vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10         0.046922           0.046688            0.030955   1033
           15         0.047336           0.046952            0.031046   1053
           20         0.047330           0.046946            0.031032   1054
           25         0.047156           0.046730            0.031198   1068
           30         0.047140           0.046668            0.031192   1078
           35         0.046980           0.046646            0.031267   1090
           40         0.047004           0.046646            0.031250   1092
           45         0.046745           0.046629            0.031390   1114
           50         0.046418           0.046460            0.031503   1130
           55         0.046414           0.046540            0.031489   1137
           60         0.046293           0.046460            0.031552   1140
           65         0.046227           0.046457            0.031617   1141
           70         0.046227           0.046457            0.031617   1141
           75         0.046181           0.046410            0.031617   1143
           80         0.045968           0.046046            0.031712   1150
           85         0.045730           0.045810            0.031963   1169
           90         0.045653           0.045782            0.031903   1185
           95         0.045625           0.045668            0.031787   1210
          100         0.045335           0.045436            0.031892   1222
          105         0.044725           0.045016            0.032196   1240
          110         0.044291           0.044347            0.032388   1254
          115         0.044283           0.044347            0.032391   1258
          120         0.044291           0.044347            0.032369   1260
          125         0.044291           0.044347            0.032369   1260
          130         0.044291           0.044347            0.032369   1260
          135         0.044291           0.044347            0.032369   1260
          140         0.044291           0.044347            0.032369   1260
          145         0.044291           0.044347            0.032369   1260
          150         0.044291           0.044347            0.032369   1260
          155         0.044291           0.044347            0.032369   1260
          160         0.044291           0.044347            0.032369   1260
          165         0.044291           0.044347            0.032369   1260
          170         0.044289           0.044347            0.032359   1264
          175         0.044082           0.043954            0.032393   1272
          180         0.044039           0.043870            0.032437   1276
          185         0.043972           0.043783            0.032414   1280
          190         0.044003           0.043820            0.032407   1282
          195         0.043887           0.043783            0.032475   1286
          200         0.043787           0.043623            0.032544   1291
Lowest standard deviation for AMSR: 0.0310 at 10 miles

SMAP vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10              NaN                NaN                 NaN      0
           15              NaN                NaN                 NaN      0
           20         0.052996           0.053925            0.028706   1374
           25         0.052996           0.053925            0.028706   1374
           30         0.052996           0.053925            0.028706   1374
           35         0.052996           0.053925            0.028706   1374
           40         0.052996           0.053925            0.028706   1374
           45         0.052996           0.053925            0.028706   1374
           50         0.052996           0.053925            0.028706   1374
           55         0.052996           0.053925            0.028706   1374
           60         0.052996           0.053925            0.028706   1374
           65         0.052996           0.053925            0.028706   1374
           70         0.052996           0.053925            0.028706   1374
           75         0.052996           0.053925            0.028706   1374
           80         0.052996           0.053925            0.028706   1374
           85         0.052996           0.053925            0.028706   1374
           90         0.052996           0.053925            0.028706   1374
           95         0.052996           0.053925            0.028706   1374
          100         0.052996           0.053925            0.028706   1374
          105         0.052996           0.053925            0.028706   1374
          110         0.052996           0.053925            0.028706   1374
          115         0.052996           0.053925            0.028706   1374
          120         0.052996           0.053925            0.028706   1374
          125         0.052996           0.053925            0.028706   1374
          130         0.052996           0.053925            0.028706   1374
          135         0.052996           0.053925            0.028706   1374
          140         0.052996           0.053925            0.028706   1374
          145         0.052996           0.053925            0.028706   1374
          150         0.052996           0.053925            0.028706   1374
          155         0.052996           0.053925            0.028706   1374
          160         0.052996           0.053925            0.028706   1374
          165         0.052996           0.053925            0.028706   1374
          170         0.052996           0.053925            0.028706   1374
          175         0.052996           0.053925            0.028706   1374
          180         0.052996           0.053925            0.028706   1374
          185         0.052996           0.053925            0.028706   1374
          190         0.052996           0.053925            0.028706   1374
          195         0.052996           0.053925            0.028706   1374
          200         0.052996           0.053925            0.028706   1374
Lowest standard deviation for SMAP: 0.0287 at 20 miles

==================================================

