Label Feature,Dropped Feature,Model Name,Test MSE,Test MAE,Test MAPE
SWC_10,Srad,CNN,0.028956521302461624,0.08824777603149414,15.255843162536621
SWC_10,Srad,RNN,0.024223988875746727,0.06895386427640915,12.31112289428711
SWC_10,Srad,LSTM,0.042715806514024734,0.1419009417295456,16.34935188293457
SWC_10,Srad,Autoregressive,0.053504180163145065,0.13673801720142365,17.25006103515625
SWC_10,Srad,Bi-LSTM,0.03466792404651642,0.10983743518590927,24.06440544128418
SWC_10,Wx,Baseline,0.04387820512056351,0.08710718899965286,14.520020484924316
SWC_10,Wx,Multi-step Linear,0.08032900094985962,0.2299375832080841,27.583864212036133
SWC_10,Wx,Multi-step Dense,0.029528794810175896,0.09264426678419113,13.7122802734375
SWC_10,Wx,CNN,0.026169802993535995,0.07932884991168976,11.347304344177246
SWC_10,Wx,RNN,0.02605520933866501,0.08550092577934265,13.069903373718262
SWC_10,Wx,LSTM,0.02816915698349476,0.08529490232467651,14.264575958251953
SWC_10,Wx,Autoregressive,0.0724683403968811,0.18732412159442902,20.733463287353516
SWC_10,Wx,Bi-LSTM,0.09199003130197525,0.1996486634016037,27.034154891967773
SWC_10,Wy,Baseline,0.043878208845853806,0.08710716664791107,14.52001953125
SWC_10,Wy,Multi-step Linear,0.0737055242061615,0.21119077503681183,27.7910213470459
SWC_10,Wy,Multi-step Dense,0.02479119598865509,0.07211404293775558,10.840744018554688
SWC_10,Wy,CNN,0.02897430583834648,0.0900866687297821,15.94689655303955
SWC_10,Wy,RNN,0.028286738321185112,0.08861507475376129,15.819415092468262
SWC_10,Wy,LSTM,0.03806648775935173,0.11623305082321167,16.05023765563965
SWC_10,Wy,Autoregressive,0.05404042452573776,0.1433706134557724,17.128883361816406
SWC_10,Wy,Bi-LSTM,0.03541034832596779,0.10815954953432083,15.285846710205078
SWC_10,Day sin,Baseline,0.04387820139527321,0.08710717409849167,14.520020484924316
SWC_10,Day sin,Multi-step Linear,0.07345819473266602,0.21302202343940735,27.355316162109375
SWC_10,Day sin,Multi-step Dense,0.025808721780776978,0.07409550249576569,12.256176948547363
SWC_10,Day sin,CNN,0.024380464106798172,0.06683875620365143,11.664663314819336
