target,model_type,n_steps,offset,features,mse,mae,mae_percentage
Sat_SM_SMAP,lstm,6,6,"('Ppt', 'Tair', 'Winddirection', 'distance_SMAP')",0.0008069126947085971,0.02216947160047398,15.107431217457579
Sat_SM_SMAP,lstm,7,7,"('Tair', 'RH', 'distance_SMAP')",0.0008069603749954587,0.02210134373576163,15.221066337290809
Sat_SM_SMAP,autoregressive,5,5,"('distance_SMAP',)",0.0008072765762411532,0.021831772942577907,14.798917404239253
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Winddirection', 'distance_SMAP')",0.0008072881433923056,0.02043586122533888,13.621684516569058
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Tair', 'RH', 'Windspeed')",0.0008073323247491806,0.020334325945340282,13.869754409150554
Sat_SM_SMAP,autoregressive,2,2,"('RH', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0008076610098096871,0.020242806729013706,13.629467502059587
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'RH', 'Windspeed', 'Winddirection')",0.000807884074578881,0.02212038896366073,15.158589269529518
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'RH', 'Winddirection')",0.0008080724895664752,0.02049726118109248,13.87090148509557
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'RH', 'Windspeed')",0.0008081788559116839,0.02054873704625589,13.83361348487268
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Tair')",0.0008082815740761972,0.021644012729048208,14.661605883222153
Sat_SM_SMAP,lstm,7,7,"('Tair',)",0.0008084001462891165,0.022011971111389996,15.100787593469592
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'Winddirection')",0.0008085243826226211,0.02012532617833126,13.342114031266608
Sat_SM_SMAP,autoregressive,6,6,"('RH', 'Winddirection', 'distance_SMAP')",0.0008085502575685483,0.022099016814519583,15.156433752745233
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0008087831850389862,0.020445608176820316,13.66150753840184
Sat_SM_SMAP,autoregressive,6,6,"('Ppt', 'RH', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.00080878521604595,0.02202954941058,14.975202787809518
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Tair', 'RH', 'Winddirection')",0.0008092749815251538,0.02041577734244459,13.877371807814942
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'RH')",0.0008093027716589048,0.020495210198711207,13.826441598061958
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'RH', 'Windspeed', 'distance_SMAP')",0.0008093037179983136,0.02056766235386741,13.864602453422654
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Windspeed', 'distance_SMAP')",0.0008095218374188219,0.02000189437370503,13.376727312479685
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection', 'distance_SMAP')",0.0008096246801135219,0.02078553221253094,14.100666867407465
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'RH', 'Windspeed', 'Winddirection')",0.0008099511180006278,0.020266388770499855,13.692902833875657
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed')",0.000809978233710849,0.020493202106880472,13.872317607517232
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0008101558074154332,0.020548030668464324,13.70382402922761
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'Windspeed')",0.000810333282985233,0.020345584587493817,13.582046786349435
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'Winddirection')",0.0008105001186980123,0.020439721237104795,13.714078093994248
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Tair', 'Winddirection')",0.0008105255715497022,0.022024153338940873,14.776225418491013
Sat_SM_SMAP,lstm,7,7,"('Ppt', 'Tair')",0.0008108744282802063,0.02189593052952875,14.960455070886505
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'RH', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.000810961385756096,0.020650151982663546,13.968115911142377
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Windspeed', 'Winddirection')",0.0008112856148844317,0.02172853758381209,14.455687543388915
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'Windspeed', 'Winddirection')",0.0008113754953733794,0.020140776911706085,13.34948264321976
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Winddirection')",0.0008114681389665879,0.02044335082551439,13.687968351332715
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Tair', 'Winddirection')",0.0008114823122735261,0.021804831202746035,14.728801358710946
