========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:16
========================================
"TOA5","CR1000_1","CR1000","98563","CR1000.Std.32.05","CPU:CR1000_1v3_onswitch.CR1","43335","Hourly_met"
"TIMESTAMP","RECORD","Rain_mm_Tot","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","SlrW_Avg","ETos","Rso"
"TS","RN","mm","Deg C","%","meters/second","Deg","W/m^2","mm","MJ/m²"
"","","Tot","Avg","Smp","WVc","WVc","Avg","ETXs","Rso"
"2022-06-16 16:00:00",196,0,35.55,26.71,3.014,177.9,781.1,0.736,2.085
"2022-06-16 17:00:00",197,0,34.83,29.81,3.388,176.6,599.1,0.609,1.34
"2022-06-16 18:00:00",198,0,33.79,29.58,3.038,161.7,279.6,0.339,0.583
"2022-06-16 19:00:00",199,0,33.3,30.23,3.071,159.4,107.7,0.211,0.055
"2022-06-16 20:00:00",200,0,31.81,34.71,2.082,176.2,14.77,0.082,0
"2022-06-16 21:00:00",201,0,29.49,39.08,1.068,188,0,0.021,0
"2022-06-16 22:00:00",202,0,28.45,42.38,1.28,185.3,0,0.028,0
"2022-06-16 23:00:00",203,0,27.96,47.55,1.903,186.6,0,0.048,0
"2022-06-17 00:00:00",204,0,26.78,54.64,1.672,195.1,0,0.032,0
"2022-06-17 01:00:00",205,0,25.91,61.12,1.683,202.7,0,0.025,0
"2022-06-17 02:00:00",206,0,24.96,61.52,1.37,206.5,0,0.013,0
"2022-06-17 03:00:00",207,0,24.42,61.57,1.35,211.7,0,0.012,0
"2022-06-17 04:00:00",208,0,23.15,64.88,1.082,224.1,0,0.001,0
"2022-06-17 05:00:00",209,0,22.72,72.2,1.362,226.8,0,0.005,0.025
"2022-06-17 06:00:00",210,0,22.21,76.78,0.984,226.4,6.529,0.027,0.443
"2022-06-17 07:00:00",211,0,22.79,73.21,0.779,217.7,112.9,0.09,1.167
"2022-06-17 08:00:00",212,0,25.26,59.88,1.101,209.3,317.3,0.236,1.905
"2022-06-17 09:00:00",213,0,28.45,35.53,1.073,202.8,535.4,0.414,2.595
"2022-06-17 10:00:00",214,0,30.76,36.49,2.105,172.7,727.8,0.613,3.147
"2022-06-17 11:00:00",215,0,31.53,40.97,2.43,163.5,871,0.724,3.462
"2022-06-17 12:00:00",216,0,32.98,34.92,3.041,130.7,961,0.824,3.589
"2022-06-17 13:00:00",217,0,33.73,34.05,2.867,152.1,955,0.828,3.509
"2022-06-17 14:00:00",218,0,34.11,35.08,3.108,158.7,836,0.756,3.199
"2022-06-17 15:00:00",219,0,34.19,35.7,3.103,162.7,824,0.742,2.704
"2022-06-17 16:00:00",220,0,34.11,35.68,3.136,156.5,595.7,0.571,2.056
"2022-06-17 17:00:00",221,0,33.56,38.29,3.008,153.8,361.9,0.388,1.323
"2022-06-17 18:00:00",222,0,33.26,37.38,3.254,160.7,310.5,0.358,0.579
"2022-06-17 19:00:00",223,0,32.29,38.66,2.812,169.1,84.8,0.162,0.056
"2022-06-17 20:00:00",224,0,30.77,44.02,1.718,172.2,9.71,0.054,0
"2022-06-17 21:00:00",225,0,29.01,49.32,1.325,178.4,0,0.027,0
"2022-06-17 22:00:00",226,0,27.98,52.27,1.397,177,0,0.026,0
"2022-06-17 23:00:00",227,0,27.29,55.29,1.801,181.2,0,0.035,0
"2022-06-18 00:00:00",228,0,26.87,62.98,2.429,183.8,0,0.042,0
"2022-06-18 01:00:00",229,0,26.03,67.67,1.912,200.6,0,0.023,0
"2022-06-18 02:00:00",230,0,24.58,73.3,0.753,184.8,0,-0.009,0
"2022-06-18 03:00:00",231,0,23.99,75.82,1.42,190,0,0.003,0
"2022-06-18 04:00:00",232,0,23.5,79.22,1.391,190.1,0,0,0
"2022-06-18 05:00:00",233,0,22.81,81.3,1.374,188.8,0,-0.003,0.024
"2022-06-18 06:00:00",234,0,21.95,78.33,1.029,198.4,7.943,0.023,0.439
"2022-06-18 07:00:00",235,0,22.93,72.53,1.328,218.9,131.7,0.107,1.164
"2022-06-18 08:00:00",236,0,24.71,60.48,1.545,213.7,337,0.25,1.903
"2022-06-18 09:00:00",237,0,27.34,42.23,1.744,213.9,552,0.432,2.589
"2022-06-18 10:00:00",238,0,29.38,36.61,1.816,210,738.4,0.59,3.136
"2022-06-18 11:00:00",239,0,31.12,34.44,2.593,170.8,888,0.745,3.496
