,ar_bi_lstm,y_true,shift_bl,ar_lstm,cnn,lstm,bi_lstm
45,0.19547088,0.1591576229671049,0.1591576229671049,0.20425037,0.15494154,0.20276345,0.15279073
46,0.19417734,0.1591576229671049,0.1591576229671049,0.20311435,0.15389788,0.20090355,0.15418483
47,0.19319578,0.1591576229671049,0.1591576229671049,0.200836,0.16954447,0.20041935,0.15602858
48,0.1922778,0.1591576229671049,0.1591576229671049,0.19867162,0.16795304,0.20211613,0.15616018
49,0.1916694,0.1591576229671049,0.1591576229671049,0.1968566,0.17259344,0.20391756,0.15442571
50,0.1918239,0.1591576229671049,0.1591576229671049,0.19541502,0.16636987,0.2068048,0.15281226
51,0.19169107,0.1591576229671049,0.1591576229671049,0.19461368,0.16686735,0.2092087,0.15038328
52,0.19173826,0.1591576229671049,0.1591576229671049,0.19427449,0.17259063,0.21063824,0.14705078
53,0.19528821,0.1591576229671049,0.1591576229671049,0.19610922,0.1705155,0.21170267,0.147843
54,0.19700907,0.1591576229671049,0.1591576229671049,0.19839683,0.163064,0.21256089,0.14721785
55,0.19923498,0.1591576229671049,0.1591576229671049,0.20070772,0.16044247,0.21309128,0.14718758
56,0.20145063,0.1591576229671049,0.1591576229671049,0.20335722,0.16380897,0.21421145,0.14756021
57,0.20328625,0.1591576229671049,0.1591576229671049,0.20580019,0.16947012,0.21525957,0.14830652
58,0.20502569,0.1591576229671049,0.1591576229671049,0.20755349,0.16541207,0.21641333,0.14995995
59,0.20539673,0.1591576229671049,0.1591576229671049,0.2084402,0.17317605,0.2193446,0.15149714
60,0.20455025,0.1591576229671049,0.1591576229671049,0.20848201,0.18393227,0.22414717,0.1535943
61,0.20381927,0.1591576229671049,0.1533587100220503,0.20859347,0.17569424,0.2295072,0.15572213
62,0.20279746,0.1533587100220503,0.1533587100220503,0.20763369,0.18740584,0.23263998,0.15580213
63,0.20142569,0.1533587100220503,0.1533587100220503,0.20742561,0.17366725,0.23126143,0.15460078
64,0.20021406,0.1533587100220503,0.1533587100220503,0.20724705,0.17424092,0.2282284,0.15363158
65,0.20028934,0.1533587100220503,0.1533587100220503,0.20736142,0.17752117,0.22427462,0.15529945
66,0.20321901,0.1533587100220503,0.1533587100220503,0.21230865,0.17502604,0.22876373,0.16738272
67,0.23779769,0.1533587100220503,0.1533587100220503,0.25252935,0.16713963,0.2847915,0.25629133
68,0.21643399,0.1533587100220503,0.1533587100220503,0.23724538,0.15657766,0.30215478,0.224301
69,0.21248107,0.1533587100220503,0.1533587100220503,0.22846939,0.15382619,0.29730168,0.20836605
70,0.21317947,0.1533587100220503,0.1533587100220503,0.22624673,0.15419355,0.2820056,0.19431186
71,0.21005179,0.1533587100220503,0.1533587100220503,0.22514753,0.16063495,0.26436505,0.17891802
72,0.2064013,0.1533587100220503,0.1533587100220503,0.219025,0.16953321,0.25010377,0.16895969
73,0.20890607,0.1533587100220503,0.1533587100220503,0.21470708,0.17052266,0.2398949,0.16855644
74,0.20970504,0.1533587100220503,0.1533587100220503,0.21462716,0.17084968,0.23351932,0.16689147
75,0.20918788,0.1533587100220503,0.1533587100220503,0.21447816,0.16821939,0.23022828,0.16489986
76,0.20793988,0.1533587100220503,0.1533587100220503,0.21463747,0.17954588,0.22861286,0.1629493
77,0.20653777,0.1533587100220503,0.1533587100220503,0.21988864,0.17064732,0.22499685,0.15163288
78,0.2061942,0.1533587100220503,0.1533587100220503,0.22021388,0.17472082,0.2195794,0.14730184
79,0.20544758,0.1533587100220503,0.1533587100220503,0.22011271,0.17159966,0.2130799,0.14506505
80,0.20370926,0.1533587100220503,0.1533587100220503,0.21840823,0.17149003,0.20641711,0.1431274
81,0.20278914,0.1533587100220503,0.1533587100220503,0.21571709,0.17333193,0.20034508,0.14467213
82,0.20315152,0.1533587100220503,0.1533587100220503,0.2140281,0.16968001,0.19402765,0.14466818
83,0.20359,0.1533587100220503,0.1533587100220503,0.21391709,0.17871413,0.18831351,0.14189091
84,0.20614915,0.1533587100220503,0.1533587100220503,0.21485333,0.18660487,0.18290901,0.14018847
85,0.20747057,0.1533587100220503,0.1533587100220503,0.2171606,0.18326566,0.17934296,0.13562727
86,0.20998089,0.1533587100220503,0.1533587100220503,0.21896093,0.18630898,0.17962293,0.13280876
87,0.2107933,0.1533587100220503,0.1533587100220503,0.22001095,0.17771827,0.18104365,0.12859116
88,0.21315518,0.1533587100220503,0.1533587100220503,0.22065924,0.18150288,0.18335925,0.12875442
89,0.21274038,0.1533587100220503,0.1533587100220503,0.2196259,0.18239403,0.18575229,0.13690707
90,0.21232094,0.1533587100220503,0.1533587100220503,0.21649384,0.17868906,0.18885036,0.14223444
91,0.21008964,0.1533587100220503,0.1533587100220503,0.21534282,0.16669446,0.19177689,0.1458229
92,0.20779185,0.1533587100220503,0.1533587100220503,0.21511838,0.15551043,0.19424194,0.14688548
93,0.20682049,0.1533587100220503,0.1533587100220503,0.21614401,0.15090981,0.19629815,0.14763096
94,0.20511605,0.1533587100220503,0.1533587100220503,0.21587774,0.15723363,0.19818047,0.14743963
95,0.20293741,0.1533587100220503,0.1533587100220503,0.2137664,0.15833548,0.19989361,0.14687231
96,0.20102803,0.1533587100220503,0.1533587100220503,0.21169382,0.16658235,0.20025472,0.14546543
97,0.19954677,0.1533587100220503,0.1533587100220503,0.20878807,0.1778139,0.20112482,0.14563534
98,0.1975122,0.1533587100220503,0.1533587100220503,0.20560052,0.18113872,0.2019562,0.1454966
